{'text': '对，输给一个女人，的成绩。失望', 'entities': '人物：说话者（未知）\n地名：无\n机构：无\n位置：未知'}
{'text': '【跟孩子聊天也是个技术活（四）】不要“否定”，只要“同理”。大人跟孩子聊天，很容易发生的一个状况，就是大人常常喜欢否定孩子的感受。当孩子说“自然课无聊死了”的时候，比较好的方式是回答：“喔，自然课很无聊啊，你可以告诉我是什么让你觉得很无聊吗？”而不是否定他的感受。', 'entities': '人物：孩子、大人；地名：无；机构：无；位置：无。'}
{'text': '我想说我不是怕累我是真的不习惯，我在三河一中累的跟神经病似的的时候我也能活的好好的可是现在真的很不习惯有一种想快都快不起来的感觉。我在:http://t.cn/8kZewVI', 'entities': '人物：未提及\n地名：三河一中\n机构：未提及\n位置：未提及，但可能是在三河一中。'}
{'text': '新版微博客户端，好听，好看，更好玩！自定义个人封面；音、视频直接播放；好友圈—好友消息不错过；支持屏蔽广告微博；广场音乐、电影、美食等频道升级。[good]快试试一键听歌：http://t.cn/zH4S4xq下载地址：http://t.cn/zROKkPS', 'entities': '人物：无\n地名：无\n机构：微博\n位置：无'}
{'text': '【为他人着想激发创造力】美国《个性和社会心理期刊》上的一项新研究显示：当人们为其他人考虑或工作时，会用一种更加抽象、范围更广的方式进行思考，从而开创了新的创意路径。他们能从为他人提供的好处中获得更多灵感。因此，我们平时多为他人着想一些，可能会获得意想不到的创造力。', 'entities': '人物：无\n地名：美国\n机构：《个性和社会心理期刊》\n位置：无'}
{'text': '今天我看到有人出售孔雀，还说可以吃，这个做个解释，泸州的警察们可知道！', 'entities': '人物：无\n地名：泸州\n机构：警察\n位置：无'}
{'text': "@红美商城官方微博@红美商城-苏州站@邱邱抹茶@小米子小样@羽墨丶月这个还不错'iphone5求爱国", 'entities': '人物：@红美商城官方微博、@邱邱抹茶、@小米子小样、@羽墨丶月\n地名：@红美商城-苏州站\n机构：@红美商城官方微博\n位置：苏州站'}
{'text': '发现田馥甄的『还是要幸福』很好听，推荐大家，特别是疲惫的时候，有一股宛如清泉的声音，很赞！', 'entities': '人物：田馥甄\n地名：无\n机构：无\n位置：无'}
{'text': '1545年4月28日，朝鲜将军、民族英雄李舜臣诞生。直至在1598年11月19日在露梁海战中壮烈殉国，他都以从不动摇的爱国心和超凡的战略战术以及超越生死的英雄气概，取得了23战全胜的辉煌战果，成功地捍卫了祖国和民族的安全与尊严。在他死后被授予了“忠武公”的称号。', 'entities': '人物：李舜臣\n地名：朝鲜、露梁海战\n机构：无\n位置：露梁海战的战场'}
{'text': '独孤求败算什么？东方不败算什么？俺在#三国来了#中，升到了74级，并打造了一支梦之队！不服就来比划比划~http://t.cn/zOVoruA', 'entities': '人物：独孤求败、东方不败\n地名：无\n机构：无\n位置：#三国来了#游戏中，升到了74级，并打造了一支梦之队'}
{'text': '扩散[话筒]//@任志强:换官之后能解决吗？//@徐小平://@声音法治周刊:要转到多少，河北方面才会回应？', 'entities': '人物：任志强、徐小平\n地名：河北方面\n机构：声音法治周刊\n位置：未明确指定'}
{'text': '额，浪浪，你太绝了哈哈哈哈丫头哒哒看看你的手机，反正我的是这个', 'entities': '人物：额，浪浪，丫头\n地名：无\n机构：无\n位置：无'}
{'text': '我受不了装傻的人，我是狮子座苏歆我受不了我自己，我是双子座我受不了沒有常識的人，我是水瓶座', 'entities': '人物：苏歆\n地名：无\n机构：无\n位置：无'}
{'text': '#微博桌面#1.3Beta升级了哦~~你现在可以在桌面上加关注、管理粉丝了；且重要信息有气泡提醒，更加醒目；截图功能也全新出场，能涂鸦写字划框框；本期还全面支持微博主站的各种表情，让你尽情表达自己；另外增加了提取对话消息的快捷键；怎么样？Hold住没？Hold住了就吼一声吧~下载：http://t.cn/aKLMPn', 'entities': '人物：无\n地名：无\n机构：微博主站\n位置：桌面'}
{'text': '//@星座宝典:超简单的蝴蝶结DIY，姐妹们学起来[跳舞花]@潮饰女王', 'entities': '人物：@星座宝典、@潮饰女王\n地名：无\n机构：无\n位置：无'}
{'text': '5.22到国美购海尔，有补贴才更high!好活动呀，给力的商家，必须支持，希望以后多多办活动跟我们互动哈[花心]..地址：http://t.cn/Rvwo4Yh', 'entities': '人物：无\n地名：国美\n机构：海尔\n位置：http://t.cn/Rvwo4Yh'}
{'text': '亲爱的，我太喜欢这个了亲亲我能再矫情点不当我看到这个时，我高兴的不知道怎么好了，不知所措啊要不是公共场合，我真想给你一个我的香吻爱你，哈哈嘻嘻嘻嘻丫头哒哒我在', 'entities': '句子中的人物：说话的人（未提及姓名）、你（对方）\n地名：未提及\n机构：未提及\n位置：未提及，但可以推测说话的人和对方可能在一起。'}
{'text': '【金陵图书馆南京白局宣讲会】http://t.cn/zQqJ7lx我们的南京白局深受小朋友的欢迎哦易学易懂从小做起都来传承我们南京的独特世界非遗吧！', 'entities': '人物：无\n地名：金陵图书馆、南京\n机构：南京白局\n位置：金陵图书馆'}
{'text': '//@高晓松:呵呵好莱坞的extra群众演员演戏70刀一天，被政府雇佣钓鱼执法100刀一天，演的极逼真[泪]//@加州招待所暂住:这里报纸报道过，一不知深浅的华人，在停车场摇下车窗同主动搭讪的米国钓鱼女警玩笑两句，车钥匙还没拔就被逮捕，最后为了不留案底，交几千罚款了事。', 'entities': '高晓松 - 人物\n好莱坞 - 地名\nextra群众演员 - 机构\n政府 - 机构\n钓鱼执法 - 机构\n加州招待所暂住 - 位置\n停车场 - 位置\n米国钓鱼女警 - 人物'}
{'text': '欣赏学习！[灌水表情]——看到薛英杰的博文《挚中必固》有感而发的评论。http://t.cn/zRxG5Gq', 'entities': '人物：薛英杰\n地名：无\n机构：无\n位置：网络（评论区）'}
{'text': '#随手拍举报垃圾短信#[话筒]抵制垃圾短信，人人有责！我通过360手机卫士举报了11条垃圾短信，获得了"反垃圾义士LV3"的头衔~[得瑟]人人为我，我为人人！为了你我手机的安宁，赶快安装@360手机卫士，跟我一起举报垃圾短信吧！[心]下载地址：http://t.cn/zjzcTkg', 'entities': '人物：无\n地名：无\n机构：360手机卫士\n位置：无'}
{'text': '只爱原味心心心我是莉莉我爱魏晨呆阿呆是真汉子啊巴扎嘿原味最好吃橘子是橘不是菊薯片擼包包害羞看誰誰都是薯片擼包包我喜歡你這口味宅腐集中营自觉举手', 'entities': '人物：莉莉、魏晨、阿呆\n地名：巴扎嘿\n机构：无\n位置：宅腐集中营'}
{'text': '视频科比乔丹经典动作对比谁才是终结者分享自新浪视频', 'entities': '人物：科比、乔丹\n地名：无\n机构：新浪视频\n位置：无'}
{'text': '我在你隔壁宿舍哈哈哈，本来想要去探访一下何主席的，没想到何主席不在，老实交代！中午死哪潇洒去了@思雨儿呀[挖鼻屎]', 'entities': '人物：我、何主席、思雨儿\n地名：隔壁宿舍\n机构：无\n位置：不确定，但是中午时思雨儿可能在某个地方。'}
{'text': '我们家爱你爱你丫头哒哒夏至不再来谷梦瑶闷死的鱼我在', 'entities': '人物：我们家、丫头哒哒、谷梦瑶\n地名：夏至\n机构：无\n位置：不确定，只知道有一条闷死的鱼。'}
{'text': '有谁知道什么情况？东西大道被包围了，', 'entities': '人物：未提及\n地名：东西大道\n机构：未提及\n位置：东西大道被包围了'}
{'text': '//@代悦新闻社:【节目现场③】@代悦719在《周日我最大》节目录制现场', 'entities': '人物：@代悦719\n地名：周日我最大节目录制现场\n机构：代悦新闻社'}
{'text': '亲@bittertang@FL727@阿不阿布的小窝#高笑美情人节活动#杨贵妃和唐玄宗的爱情故事原来是这样哦~你不想了解吗？@3位好友分享有机会获得高笑美情人节礼盒！奖品获得者在微博晒出高笑美礼盒后，更有机会获得携程旅行券哦~http://t.cn/8F7dIFd', 'entities': '人物：阿不阿布、杨贵妃、唐玄宗\n地名：无\n机构：高笑美情人节活动、携程旅行\n位置：阿不阿布的小窝'}
{'text': '你不必和因果争吵，因果从来就不会误人。你也不必和命运争吵，命运它是最公平的审判官。', 'entities': '人物：无\n地名：无\n机构：无\n位置：无'}
{'text': '41352//@爱改名的人:好好玩，小伙伴们都来玩一玩吧[哈哈][哈哈]@Bla-Qin@晨读班宣传委员-笑笑@DD家的芃芃@JIA-CSY柿子@JIA_泰勒Fans@麦子千@磨叽磨叽鳖鳖龟艾小丫@吴以伦比de冬瓜银and杰伦fans@橡皮筋杀手针米猪倪爱苏打阿茜@杨小冬这个名字居然被人抢了（排名按姓氏笔画[偷笑]）', 'entities': '人物：爱改名的人、Bla-Qin、晨读班宣传委员-笑笑、DD家的芃芃、JIA-CSY柿子、JIA_泰勒Fans、麦子千、磨叽磨叽鳖鳖龟艾小丫、吴以伦比de冬瓜银and杰伦fans、橡皮筋杀手针米猪倪爱苏打阿茜、杨小冬\n地名：无\n机构：晨读班宣传委员\n位置：无'}
{'text': '从小到大如果我是一个乖小孩？如果我现在岁？假如我出现在小学的毕业典礼？突然梦醒在初中的三班？时光倒流在去年的夏天？任何一个转折点都可以让你幸福对，就是在讲你。想让你得到安稳������', 'entities': '人物：我\n地名：小学、初中\n机构：毕业典礼\n位置：三班'}
{'text': '这个活动还是不错//@观澜而索源:作为E粉们要多多关注，还能省钱，支持支持！//@北京汽车E系列:恭喜小E的“E系列三厢购置税减半”活动在新浪微博汽车行业7月活动传播力排名中跻身前十！感谢粉丝们的热情参与，今后小E会带给朋友们更有趣、更惊喜的活动哦~[爱你]', 'entities': '人物：观澜而索源\n地名：无\n机构：北京汽车E系列\n位置：无'}
{'text': '哈哈哈，笑到了赵小晚一定要戳他微博看半天才明白怎么回事哈哈哈哈哈哈哈哈哈', 'entities': '人物：赵小晚\n地名：无\n机构：无\n位置：无'}
{'text': '[哈哈]//@水木年华杰：小小支持一下杨洋，至少快乐女声里，还有个声音还像女声。', 'entities': '人物：杨洋\n地名：无\n机构：快乐女声\n位置：无'}
{'text': '勾着手臂只不过是礼仪，从心理学的角度讲，只有手心叠在一起才是真正的相通。手牵手比分享一张床还意义重大。——林燕妮《最大诱惑》', 'entities': '人物：林燕妮\n地名：无\n机构：无\n位置：无'}
{'text': '阿真十九岁了耶零点祝福噢快乐快乐爱你思密达生日快乐木马没有雨哥的陪伴这一天你要玩的开心玩的尽兴@鮮橙lEE[嘻嘻][阴险][花心]我在:http://t.cn/8k58VqE', 'entities': '人物：阿真、雨哥、鮮橙lEE\n地名：无\n机构：无\n位置：http://t.cn/8k58VqE'}
{'text': '[围脖][围脖]迎接新年的第一场雪!!!![雪][雪人][雪人][雪]暖暖的[温暖帽子][手套]@小鸡chao快跑@吴双虎-@@敏敏-eva@Bobo王@大寳白勺小寳@dalin琳Y@范儿姐00@街区摄影-菲@MM_猫猫@Zz傻丫头', 'entities': '人物：小鸡chao、吴双虎、敏敏-eva、Bobo王、大寳白勺小寳、dalin琳Y、范儿姐00、街区摄影-菲、MM_猫猫、Zz傻丫头\n地名：无\n机构：无\n位置：在下雪的地方，可能是户外。'}
{'text': '视金钱如粪土的清高之士，他们能不食人间烟火，采天地之灵气，吸日月之精华？虽说女孩子爱上一个男孩子的先决条件不见得是金钱，但是男孩子要追到心仪的女孩子难免要花钱，而且是花上不少的钱，如今小学生都喊着做中国的比尔．盖茨，可见金钱的魅力，女孩鬼精似的，看看追她们要多少钱？吓你一跳！', 'entities': '人物：清高之士、女孩子、男孩子、比尔·盖茨\n地名：无\n机构：无\n位置：无'}
{'text': '现在的自己还在感冒又想起姥姥做得疙瘩汤妈妈的努力自己的运气有了机会在异国读高中喉咙疼着在家呆着啃着一股子不争气但多想喝一口姥姥做的汤可是能做的还是好好看书吧明天无论如何得去学校啊太阳', 'entities': '人物：自己、姥姥、妈妈\n地名：异国、家\n机构：学校\n位置：在家'}
{'text': '怎么办姑娘生日快乐哈。。。。让尜彩虹好好给你过生日。。我在', 'entities': '人物：姑娘、尜彩虹\n地名：无\n机构：无\n位置：说话者在某个地方，具体位置未知。'}
{'text': '小狮子问母狮子：“妈妈，幸福在哪里？”母狮子说：“幸福就在你的尾巴上啊。”于是，小狮子不断追着尾巴跑，但始终咬不到。母狮子笑道：“傻瓜！幸福不是这样得到的。只要你昂首[雪花]向前走，幸福就会一直跟随着你。”~~', 'entities': '人物：小狮子，母狮子；地名：无；机构：无；位置：无。'}
{'text': '哩部老爷机后生唔识玩，只适合老野玩[泪][泪][泪]', 'entities': '人物：哩部老爷\n地名：无\n机构：无\n位置：机后'}
{'text': '//@囧事搜一搜:哈哈，资深姐，你微薄真是太给力了啊!', 'entities': '人物：囧事搜一搜、资深姐\n地名：无\n机构：无\n位置：无'}
{'text': '抽到吧吴小公民的微博鼓掌鼓掌', 'entities': '人物：吴小公民\n地名：无\n机构：无\n位置：无'}
{'text': '我又不能保证签收快递滴是本人！收件人木有拿到东西关我什么事？！帮忙还要背黑锅？！看来好人不能当丫！神马破事！', 'entities': '人物：收件人\n地名：无\n机构：无\n位置：无'}
{'text': '哈尔滨…南北差异啊…//@四夕月厶是眼神真诚的:长沙[泪]', 'entities': '人物：无\n地名：哈尔滨、长沙\n机构：无\n位置：哈尔滨南北地区、长沙（不确定具体位置）'}
{'text': '有些人不是离开了就能不爱了，不是不见了就能忘记了，不是放手了就能不痛了，我徹底离开了那个有你在的城市，不再经过那个曾经一起走过的路口，甚至有一段时间徹底断了你的消息，卻在最后的最后，发现自己还是爱…这才明白，原來，爱情不是离得开，就能不爱的。', 'entities': '人物：无明确指代的人物；地名：无明确指代的地名；机构：无明确指代的机构；位置：无明确指代的位置。'}
{'text': '哎哟我去老干妈哈哈哈哈哈哈泰翻快粗来泪泪泪一又二分之一的夏天百度贴吧尼坤蒋劲夫独家专访一又二分之一的夏天剧组', 'entities': '人物：尼坤、蒋劲夫\n地名：百度贴吧\n机构：一又二分之一的夏天剧组\n位置：不确定，句子中没有明确的位置描述。'}
{'text': '【秋天，到草原去撒欢】不止一次去过草原，每到秋高气爽时，最想去的地方还是草原。蓝天白云，还有金灿灿的草甸子，让整日喧闹的心沉静下来。只有当你行走在那里，呼吸着牧区的空气，看着那样的天与地，你才会明白牧人的心胸醇厚宽广的道理，才会明白草原白酒的醇美，才能听得懂蒙古人的歌。', 'entities': '人物：无\n地名：草原、牧区、蒙古\n机构：无\n位置：草甸子'}
{'text': '宁波海曙苗芳清颜美容工作室回复黎雅思亲，去之前可以预约下呢黎雅思那我已经做到了抱抱宁波海曙苗芳清颜美容工作室回复黎雅思亲，只要转发微博关注我们个好友就可以了。', 'entities': '人物：黎雅思\n地名：宁波海曙\n机构：苗芳清颜美容工作室\n位置：未提及具体位置'}
{'text': '感觉又到追巡演的日子！今天我们主场，你只管负责帅！我们负责花痴！@白举纲', 'entities': '人物：白举纲\n地名：未提及\n机构：未提及\n位置：主场（未提及具体位置）'}
{'text': '说出来，有效的沟通//@安东尼写给不二的情书:有道理[赞]', 'entities': '人物：安东尼、不二\n地名：无\n机构：无\n位置：无'}
{'text': '等有资格结婚了我要嫁给一个很平易近人的男人他没有大大的啤酒肚没有地中海似的大光头没有鸡毛蒜皮都计较的小心眼也没有莫名其妙就爆发的坏脾气他要喜欢运动充满男子气他要喜欢唱歌就算走调让我哭笑不得他要捧着我的脸说娶到你真是我的福气（转）', 'entities': '人物：我、一个很平易近人的男人；地名和位置：无；机构：无。'}
{'text': '我刚刚参与了"建行送金接龙热抢"活动，一起来排队吧！给力年终奖在等你哦！http://t.cn/8k9pxqQ', 'entities': '人物：无\n地名：无\n机构：建行（中国建设银行）\n位置：无'}
{'text': '我也觉得雷明挖鼻屎我也觉得不公平', 'entities': '人物：我、雷明\n地名：无\n机构：无\n位置：无'}
{'text': '[礼花]【喜-报】：你的帐号己被后台筛选为当日双禮之星的用戶，速登入：【http://t.cn/aOvJiz】査收[礼物]←Uq1', 'entities': '人物：无\n地名：无\n机构：后台\n位置：无'}
{'text': '#黄埔分享#【商场三流】1、“一流企业家做人不做事，二流企业家做人又做事，三流企业家不做人只做事。”2、“一流商人是精明加厚道，二流商人是精明加精明，三流商人是厚道加厚道。”3、“一流企业做文化，二流企业做品牌，三流企业做项目。', 'entities': '人物：企业家、商人；地名：黄埔；机构：企业；位置：商场'}
{'text': '张馨予推荐减肥美容的柠檬水杯上架拉。大家自己淘宝拍噢。并备注上喜欢的颜色。http://t.cn/8kAUSj2', 'entities': '人物：张馨予\n地名：淘宝\n机构：无\n位置：柠檬水杯上架拉'}
{'text': '说句文艺的：今日分别不说珍重，明朝重聚必贺成功！说句实在的：希望我能当你们孩子的干妈！//@卡葉CC:见与不见的时候，心都紧紧连着，我相信这对于我们只是开始，且行且珍惜//@可可可乐_冰:最美的青春遇到你们，是我最幸运的事，愿我们永远像花儿一样美丽……', 'entities': '文艺句子中没有明确的人物、地名、机构和位置。实在句子中没有明确的地名、机构和位置，但提到了“你们孩子”的概念。'}
{'text': '财经政法。。。豁出去了。', 'entities': '人物：无\n地名：无\n机构：财经政法\n位置：未指定'}
{'text': '室内设计师之路|我们坚持一条不寻常的路，创新环保人性！_室内设计师之路http://t.cn/zO9c2WT', 'entities': '人物：室内设计师\n地名：无\n机构：室内设计师之路\n位置：无'}
{'text': 'yes茶餐厅加V啦转发送iPadmini好想呀，支持。转走了！！~!~!地址：http://t.cn/8sVdSZV', 'entities': '人物：无\n地名：yes茶餐厅\n机构：无\n位置：无'}
{'text': '今天，阳历农历，我们家的小公主出生了，斤，多么的可爱啊，小姑爱死你了亲亲亲亲我在', 'entities': '人物：我们家的小公主、小姑\n地名：无\n机构：无\n位置：无'}
{'text': '今天@gladysbb夫妇来看大乖啦，给大乖买了好多吃的（还有一大袋大米），还给我带了除菌洗手液，水果，在这里感谢@gladysbb对大乖的关怀爱护，大乖会努力变得健康的。另，由于爱心宠物医院的诊室是封闭的，我暂时没有排到大乖治病时照片，这两天我一定把照片拍到并更新募捐申请审批@深圳市流浪狗驿站', 'entities': '人物：gladysbb夫妇\n地名：深圳市流浪狗驿站\n机构：爱心宠物医院\n位置：诊室'}
{'text': '在厦门吃港式晚茶！[害羞]又要胖了！[哼]@你和时光皆薄情@斯塔的纳维亚@你的声音躲在我耳朵里让我生病@连铭杰在春眠@春乐一直都在@黄多多麽@黄雅虹爱爱爱吃浪味仙@IRON-嘉乐@鹿丁@谢欣欣欣欣欣欣欣欣欣梅我在:http://t.cn/zHvlq22', 'entities': '人物：@你和时光皆薄情、@连铭杰、@黄多多麽、@黄雅虹、@IRON-嘉乐、@鹿丁、@谢欣欣欣欣欣欣欣欣梅\n地名：厦门\n机构：无\n位置：无'}
{'text': '迎春版火爆开测，充值促销送全套马具；回归玩家免费6天还送惊喜礼包；转发微博就有机会赢取Iphone5、NVIDIA显卡等豪华大奖！点击链接http://t.cn/zYRQCEl观看官方CG，为《剑网3》投票！微博转发实物大奖火爆抽取中，已有80457人参与.@剑网3官方微博@剑网3制作人郭炜炜，详见http://t.cn/zYEB3y6', 'entities': '人物：剑网3制作人郭炜炜\n地名：无\n机构：剑网3官方微博\n位置：无'}
{'text': '还有这个有缘人～@屿岛丶话说我好呆。。果然还是不适合照相。一脸愁容。', 'entities': '人物：屿岛丶话说我\n地名：无\n机构：无\n位置：无法确定，可能是在某个地方拍照时的场景描述。'}
{'text': '[落叶]电话开通第二张信用卡中，...‘廖先生，您的这两张卡是共享的一个总额度。’‘也就是说要是我给一张卡女友，她刷了总额度的55%，我就只能刷总额度的45%了？’‘信用卡仅限本人使用，请勿将卡交给您的家人或朋友！’顿时想起至理名言‘listen，neverevergivethecreditcardtoyourwife"[嘻嘻]', 'entities': '人物：廖先生，女友\n地名：无\n机构：无\n位置：无'}
{'text': '保龄球我们来了今天要打死你.打死你！@邓玉龙-ko@大兵_13@凌云baby', 'entities': '人物：邓玉龙、大兵_13、凌云baby\n地名：无\n机构：无\n位置：保龄球场（假设）'}
{'text': '通过微盘下载了微盘考试资料分享的大学英语六级考前最后二十天冲刺，推荐给大家', 'entities': '人物：无\n地名：无\n机构：微盘\n位置：无'}
{'text': '从来都不是幸运的人，但是我会努力的转发，努力的参加活动，增加幸运的机会，希望天道酬勤，老天爷可以看到我的付出和努力陆陆大顺[ppb欢迎欢迎]地址：http://t.cn/8kWW2pI', 'entities': '人物：我\n地名：无\n机构：无\n位置：无'}
{'text': '//@林小萱Sandy:今年最喜歡的華劇#就是要你愛上我#想要#就是要你愛上我#炎亞綸＆郭雪芙簽名酷卡', 'entities': '人物：林小萱Sandy、炎亞綸、郭雪芙\n地名：无\n机构：无\n位置：无'}
{'text': '游泳考试终于告于段落✌旱鸭子也有翻身做主人的时候要感谢的人好多好多最开心的是今天在广州小卖部偶遇昌叔居然还记得我真的好感动每每回去培训部总有满满的回忆依然清晰✨', 'entities': '人物：昌叔\n地名：广州\n机构：培训部\n位置：小卖部'}
{'text': '//@杨澜人生哲学:转发微博', 'entities': '人物：杨澜\n地名：无\n机构：无\n位置：无'}
{'text': '#2014许冠杰上海演唱会0元抢票活动#[笑哈哈]大力支持来了，希望好运，希望我能够等到博主的青睐，能够得到这份礼物，我会感恩滴。[给力]', 'entities': '人物：许冠杰，博主\n地名：上海\n机构：演唱会组织方\n位置：未提及具体位置'}
{'text': '老师给我多少分，我祝老师活多少岁。', 'entities': '人物：我、老师\n地名：无\n机构：无\n位置：无'}
{'text': '危害健康的行为：1.晚上12点后睡觉；2.不吃早餐；3.每天对着电脑10小时以上；4.手机24小时开机；5.吸烟；6.不定期检查身体；7.饮酒过量；8.长时间呆在室内；9.与人无良好沟通；10.缺乏锻炼；11.总是上夜班，日夜颠倒；12.不卸妆睡觉；13.临睡前吃的很饱。', 'entities': '人物：无\n地名：无\n机构：无\n位置：无'}
{'text': '【小李忍传】第43话，打扫厕所也能净化心灵！小李，你说打扫厕所可以净化心灵，你说的这是真的吗？http://t.cn/zYLKt6c', 'entities': '人物：小李\n地名：无\n机构：无\n位置：厕所'}
{'text': '人生能有几回这样的冲动、说自己真没用，如果不把握这次机会自我反省，做出改变，这一辈子剩下的日子我不过是躺在坟墓里给自己身上撒土罢了。自己想干的事、怕。自己喜欢的人、也是无赖的擦肩而过。麻木地接受这些我自己都不愿意看到的结果。人若只是麻木的接受，那活着有什么意义', 'entities': '人物：未知；地名：未知；机构：未知；位置：未知。'}
{'text': '詹姆斯11，lbj11黑红，全新原盒国内公司货，码数齐全。[嘻嘻]', 'entities': '人物：詹姆斯11，LBJ11\n地名：无\n机构：国内公司\n位置：未知'}
{'text': '他剪个头从头到尾都没说过一句话，我要是理发师绝对瞎乱剪。希望他早日开通新浪微博，趁现在肚子还能摸的动。大鱼吃小鱼啤酒酱乔克', 'entities': '人物：他、我\n地名：无\n机构：新浪微博\n位置：无'}
{'text': '#酷派K1为快乐而生#好活动实在是很多，导致让我迷失了双眼，今晚的努力，就是为了让我家也能乐一乐~!~!地址：http://t.cn/8sx6u2x', 'entities': '人物：无\n地名：无\n机构：酷派K1\n位置：http://t.cn/8sx6u2x'}
{'text': '狗日的！//@律坛阎王:主仆颠倒是常见！[弱]', 'entities': '人物：律坛阎王\n地名：无\n机构：无\n位置：无'}
{'text': '北京，就是背景。上海，就是商海。欲望，就是渔网。老公，就是劳工。云雨，就是孕育。升职，便是升值。誓言，就是失言。男人，就是难人。理想，就是离乡。缘分，就是怨愤。清醒，就是庆幸。结婚，就是皆昏。研究研究，就是烟酒烟酒。知道高考为什么要改在6月7、8号吗？意思是：录取吧。', 'entities': '人物：老公，男人；地名：北京，上海；机构：高考录取；位置：商海，渔网，孕育，升值，离乡，怨愤，庆幸，皆昏。'}
{'text': '俩个富二代在为晚上的活动找姑娘。。哎。。。我这穷人情何以堪。。。陈雨奇葩的世界什么时候都饿的人', 'entities': '人物：俩个富二代、陈雨奇葩、饿的人\n地名：无\n机构：无\n位置：无'}
{'text': '好朋友走了，这几天招待的不周，有时间下次来好好带你转转[爱你][爱你][爱你]@骑着老虎闯天涯@蜗牛刺客@憨厚壮壮', 'entities': '人物：骑着老虎闯天涯、蜗牛刺客、憨厚壮壮\n地名：无\n机构：无\n位置：无'}
{'text': '高一，每天都在离家的恐惧，思家的愁苦中度过的。这个时候，一个人走进了我的生活，钰儿。我们并不同班，可是她们班的宿舍已经排满了，没地儿了，正好我们寝室还有一个空床位，就这样我们成了室友。', 'entities': '人物：我、钰儿\n地名：无\n机构：无\n位置：寝室'}
{'text': '今年终于回家过年了，几年没有见爸爸妈妈了，他们又老了很多呀！回家的感觉真好。', 'entities': '人物：我、爸爸、妈妈\n地名：家\n位置：未知\n机构：无'}
{'text': '为了去晓庄看炸桥喂也为了方便明天上课，今晚就暂住在小姨家啦，我弟给我讲各种历史的故事和典故，小小年纪懂的好多，给个赞爱你', 'entities': '人物：我、我弟、小姨\n地名：晓庄\n机构：无\n位置：小姨家'}
{'text': '哥哥你要一辈子幸福···', 'entities': '人物：哥哥\n地名：无\n机构：无\n位置：无'}
{'text': '//@李开复:今天下午的节目。', 'entities': '人物：李开复\n地名：无\n机构：无\n位置：无'}
{'text': '女人只要管好自己已经很了不起，干吗要去管男人呢？听话的男人不用管，不听话的男人，要管也管不到，对你好的男人不用管，对你不好的男人，不会让你管，爱你的男人不用管，不爱你的，轮不到你管。-----张小娴', 'entities': '人物：张小娴\n地名：无\n机构：无\n位置：无'}
{'text': '我记得我的初恋因为第一次喜欢可惜那个男孩子又是在打赌幼稚的让我变的成熟', 'entities': '人物：我、那个男孩子\n地名：无\n机构：无\n位置：无'}
{'text': '确实江湖传言，这个规律可能在某些土豪公司比较有体现，但实际要分时期、分行业、也分人的//@世界经理人网站:【一般公司的工资排名规律】手写的不如会用Word的，用Word不如用Excel的，用Excel的不如用PPT的，做PPT的不如讲PPT的，讲PPT的不如听PPT的，而听PPT的往往是连Word都不会用的！', 'entities': '人物：无\n地名：无\n机构：世界经理人网站\n位置：无'}
{'text': '宁波这意思是爆表了么~完全测不出了...', 'entities': '人物：无\n地名：宁波\n机构：无\n位置：未知'}
{'text': '#赢取价值899元空气净化机，格瑞卫康神秘新品有奖征名#祝愿活动越办越好~~!~!地址：http://t.cn/8s9hxXj', 'entities': '人物：无\n地名：无\n机构：格瑞卫康\n位置：活动网址为http://t.cn/8s9hxXj，具体位置不确定。'}
{'text': '荧光黄背心激情四射，尽显青春活力。黑色短裤中和了荧光黄背心的突兀，蕾丝边增添几分女人味。', 'entities': '人物：无\n地名：无\n机构：无\n位置：可能是一个街头或者公共场所。'}
{'text': '我刚更新了#微博客户端冬季版#，1.信息流新增地点卡片；2.新增喜欢功能，轻松表达你的态度；3.支持显示悄悄关注分组和发给我的定向分组；4.支持屏蔽通知；5.周边的人、周边的微博支持筛选；6.会员还支持微博置顶和更多会员皮肤哦！AppStore下载地址：http://t.cn/zOabEYN', 'entities': '人物：无\n地名：无\n机构：微博客户端\n位置：AppStore下载地址：http://t.cn/zOabEYN'}
{'text': '#寻找最美丰台人#长辛店街道光明里社区居民王宝义，让小小板报成为助人为乐的宣传平台。板报设在小区门口，挨着早市，人来人往，为了把板报搞得有声有色，他坚持两周出一期，从国家大事、文件精神，街道、社区工作安排、通知及辖区内好人好事，到生活常识，四季养生，每一期很受欢迎。@文明丰台', 'entities': '人物：王宝义\n地名：长辛店街道、光明里社区\n机构：文明丰台\n位置：小区门口、早市、辖区内'}
{'text': '#牛进城了#5.1三天玩转朝阳公园“牛进城了”，赢三元超级礼包！地址：http://t.cn/8sQZnpY', 'entities': '人物：牛进城\n地名：朝阳公园\n机构：无\n位置：不确定，可能是朝阳公园内的某个地点，具体需要点击链接查看。'}
{'text': '新浪微博四周年丫头哒哒你非带我认识新浪微博，夏至不再来你帮我弄好的新浪微博，徐爱强你是我最早认识的微友哈哈哈哈我在', 'entities': '人物：丫头哒哒、徐爱强\n地名：无\n机构：新浪微博\n位置：不确定，可能是在使用新浪微博的电脑或手机前。'}
