{'text': '漫步在这山间的小道上', 'predict': '关系名：Located'}
{'text': '还意外收获到长荡湖“三鲜―――黄雀、青鱼、白壳虾', 'predict': '长荡湖“三鲜”和黄雀属于"Part-Whole"（部分-整体）关系。'}
{'text': '约摸个把多月的光景，少年背着书包又骑在矮墙上。', 'predict': 'Part-Whole (部分-整体)'}
{'text': '已经打摆子(疟疾)两天的<N>作业区<N>队司务长欧阳洪把自己的被褥蓑衣斗笠和自己的身体全盖在米袋上。', 'predict': "'作业区队'和'欧阳洪'属于'General-Special'关系，'自己的身体'属于'Part-Whole'关系。"}
{'text': '只见那孩子心脏跳动的胸脯处，有半块馒头大小的肉包忽隐忽现，全身瘦得只剩一层皮，肋巴扇快要透亮了。', 'predict': '关系：Part-Whole'}
{'text': '在平反大会上，党委书记给予爷爷高度的肯定：文化大革命中', 'predict': '关系：Social'}
{'text': '家里楼上就装满了我和姐姐从山上搬来的干柴，可以一年到头不用买柴', 'predict': "'山上'和'干柴'属于'Located'（位置关系）的关系。"}
{'text': '我的家在东北松花江上，那里有森林煤矿，还有那满山遍野的大豆高粱…', 'predict': "'我'属于'Ownership'（所有关系），'那里'属于'Located'（位置关系）。"}
{'text': '?我还是连斟三盅酒，虔诚地洒向黑沉沉的夜空。', 'predict': 'Part-Whole (部分-整体)'}
{'text': '淮河蚬是淮河里的独特产物。蚬肉具有很高的营养价值', 'predict': '关系名：Located'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'青衣江'属于关系名鱼米之乡，'瓦屋山'属于关系名旅游之乡。"}
{'text': '我发现后，她就望着我，满脸的慈祥', 'predict': '关系：Social'}
{'text': '品尝到了两次她家的咸肉、咸蛋', 'predict': '关系：Part-Whole'}
{'text': '忽而，苇蒲丛中传来水禽的鸣叫', 'predict': '关系：Near'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'青衣江'属于鱼米之乡关系，'彭祖山'属于旅游之乡关系。"}
{'text': '用黄泥和糠壳搅拌成泥浆，糊了一个柴灶。', 'predict': '根据句子，\'黄泥\'和\'泥浆\'属于"Part-Whole"（部分-整体）关系，因为它们是制作柴灶所需的原材料。'}
{'text': '过上几日，锅里煮嫩包谷棒的味道', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '我也会忍不住泪流满面，为那些在风尘中摇曳的树木', 'predict': "'泪'和'满面'属于General-Special关系，因为它们是“忍不住泪流满面”这个更具体的概念的组成部分。"}
{'text': '一担土只需要两坨泥就有两百多斤，挑土的只穿一条短裤，扁担压得像把弓', 'predict': '句子中的\'挑土的\'和\'一条短裤\'属于"General-Special"关系，因为它们是关于一担土挑运的细节描述。'}
{'text': '外地果商来了，但往往尝一口后车就开走了。', 'predict': '属于"General-Special"（泛指特指）关系。外地果商是特指，车是泛指。'}
{'text': '你看它们的根那么发达，地下茎、竹根，鞭根和竹秆盘在一起', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '请了一个农村师傅为我做了两件衣服,一条裤子。一件衣服是青年服', 'predict': "'一个'属于'Part-Whole'关系，'一件衣服'属于'Part-Whole'关系。"}
{'text': '而女人偏热情盛意，令人难耐，客人只好欠身离座', 'predict': '关系：Social'}
{'text': '猪够肥够大，腰身圆滚滚，猪毛油亮亮', 'predict': "句子中的'猪'和'猪毛'属于Part-Whole（部分-整体）关系，因为猪是由许多部分组成的整体，而猪毛是猪的一部分。"}
{'text': '后来，我们长大一点，姐姐就帮母亲烧火煮饭，我和哥哥就到田边井里取水', 'predict': '关系：Family, Part-Whole\n\n"我们"属于Family关系，指的是同一家庭中的人。\n\n"饭"属于Part-Whole关系，指的是煮饭是做饭的一个部分。'}
{'text': '我和哥哥就当推磨手，我们紧紧握着齐胸高的丁字型的磨手柄，甩开臂膀，喘着粗气磨豆腐，磨得手麻臂酸,满头大汗', 'predict': '我们和哥哥就当推磨手属于Social关系，头属于Part-Whole关系。'}
{'text': '透着凉丝丝的风;四人一行，两男两女，向着金黄的稻田走去。一个男人扛着拌桶，一个男人挑着箩筐;两个女人手拿锯镰刀', 'predict': 'Part-Whole（部分-整体）关系，因为“两男两女”和“箩筐”是整体中的一部分。'}
{'text': '锣鼓声里，淮河上下，一道道大堤平地而起', 'predict': '属于"Located"关系，因为句子描述了淮河和大堤的位置关系。'}
{'text': '其实，父亲何尝不是一部让我们久读不厌', 'predict': 'Family'}
{'text': '就是少数果农偷用了催熟发红剂，他们意欲早几天上市卖个高价', 'predict': "'少数果农'属于'General-Special'关系，'几天'属于'Part-Whole'关系。"}
{'text': '封底是《牧归图》，画面上是三头雄姿勃勃的水牛，其中有一只是可爱的小牛', 'predict': '关系：Part-Whole'}
{'text': '中间处墙内有棵海碗口粗的苦楝树罩着，归五爷的财产。', 'predict': "'苦楝树'属于'Part-Whole'关系，'五爷'属于'Owership'关系。"}
{'text': '更无一人想起父亲干涉过自己的丁点小事，就连我们姊妹五人的婚姻大事', 'predict': 'Family'}
{'text': '在学校门前桥上吃力地上桥坡的时候', 'predict': "'学校门前桥上'和'桥坡'属于'Located'（位置关系）的关系。"}
{'text': '徜徉在华灯绽放的交通大道上', 'predict': '属于"Located"关系，因为"徜徉在"表示位置或者状态，"华灯绽放的交通大道"是指具体的位置。'}
{'text': '怎么可能有温泉?到过香格里拉的人都知道，那里有温泉，因为那里有连绵起伏的群山', 'predict': "'那里'和'温泉'属于'Located'（位置关系）的关系。"}
{'text': '在殡仪馆里，老先生旁边摆着老太太的照片，这样他们就可以永远在一起了。”', 'predict': '老先生和他们属于家庭关系，因为句子中提到他们可以永远在一起。'}
{'text': '也孕育着灿烂的前景：那希马拉雅山脉蔚为壮观的冰川群，那冈底斯山脉连绵起伏的雪峰', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '想把身体和灵魂都发散到天空，让你发现我有多么的爱你', 'predict': 'Part-Whole（部分-整体）'}
{'text': '五爷是少年的本家爷爷，少年的爷爷排行老大，五爷排老五。少年的爹多年前就去了天津卫扛活', 'predict': '关系：Family\n\n五爷是少年的本家爷爷，少年的爷爷排行老大，五爷排老五。少年的爹多年前就去了天津卫扛活。这句话中，五爷和少年是家庭成员关系，五爷是少年的本家爷爷，少年的爷爷排行老大，五爷排老五。'}
{'text': '演员们可能是选拔出来的当地农民、工作人员，甚至是学生吧，或者是受过专业训练的人员。他们演出的节目，都是本地居民的生活、劳动的情景', 'predict': "'当地农民'和'本地居民'属于'Located'关系。"}
{'text': '黄河长江是中国最宝贵的河道，长江成为中国内河航运的大动脉，长江长<N>千米，水系河道<N>.<N>余万米。', 'predict': "Part-Whole (部分-整体)关系。其中，'长江'是整体，'<N>.<N>余万米'是长江的一部分。"}
{'text': '那呼呼的气息也吹在了她的脸上。', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '听到他打呼噜，她就轻轻搡他一把，声音就会戛然而止', 'predict': 'Family (家庭关系)'}
{'text': '我和哥哥就到田边井里取水', 'predict': '田边和井属于"Located"（位置关系）的范畴。'}
{'text': '这时调到县商业，水产，土特产几个部门工作的同学来到旅社看我们，同学们好长时间没见面了', 'predict': "'调到县商业，水产，土特产几个部门工作的同学'和'我们'属于Social关系。"}
{'text': '用黄泥和糠壳搅拌成泥浆，糊了一个柴灶。', 'predict': '\'糠壳\'和\'泥浆\'属于"Part-Whole"关系，因为它们是制作柴灶所需材料的一部分。'}
{'text': '他将竹篙在水中击打几下，就有鳊鱼鲫鱼草鱼黑压压地来了', 'predict': "'水中'属于'Located'关系，'鲫鱼'属于'Part-Whole'关系。"}
{'text': '我们伐着一条小木船，带着钩蚬的铁制蚬钩。', 'predict': "'一条'属于Part-Whole关系，'钩蚬的铁制蚬钩'属于General-Special关系。"}
{'text': '西风东渐，毛氏三姐妹豆蔻年华，领风气之先，放天足剪西发，戴眼镜穿皮鞋，上西河女校', 'predict': "'毛氏三姐妹'属于'Family'关系，'皮鞋'属于'Part-Whole'关系。"}
{'text': '在它的下端弯成一个小钩，并将小钩磨得尖尖的。然后将上端绑在一根长长的竹杆上(河水越深用的竹杆就越长)。', 'predict': "Part-Whole (部分-整体)。'它'指的是句子中提到的物品的一部分，而'一根长长的竹杆'是这个物品的整体。"}
{'text': '黄河长江是中国最宝贵的河道，长江成为中国内河航运的大动脉', 'predict': '黄河和中国最宝贵的河道属于“Part-Whole”关系。'}
{'text': '人人都有自己的梦想，有的想做医生，有的想做将军，有的想做科学家……而我的心里也一直有一个梦想：我要与爱同行', 'predict': '人人和医生属于"Part-Whole"（部分-整体）关系。'}
{'text': '那时候，家里楼上就装满了我和姐姐从山上搬来的干柴', 'predict': "'家里'和'楼上'属于'Located'关系，即位置关系。"}
{'text': '时，他会拿个弹弓比划比划;拿根树枝转转悠悠;再就是给那墩从周继和家要来的、栽在矮墙南头的蝎子草', 'predict': "句子中的'他'属于'Unknown'关系，'树枝'属于'Part-Whole'关系。"}
{'text': '地瓜开了黄花，黄花底下露出小小的、嫩嫩的瓜蛋儿。', 'predict': '这两个词都属于Part-Whole（部分-整体）关系，因为它们都是地瓜的一部分。'}
{'text': '那就是让革命老区的天更蓝，山更绿，环境更美好。放眼远眺，明媚春光里漫山遍野的年轻小树枝叶纷披', 'predict': "'革命老区'属于Located关系，'漫山遍野的年轻小树'属于Part-Whole关系。"}
{'text': '按照既定计划，我们下车后', 'predict': 'Part-Whole（部分-整体）关系。因为“我们”是“下车后”的一部分，“车”也是“下车后”的一部分。'}
{'text': '卢浦大桥上夜车如水，浦江水汩汩东流', 'predict': '\'浦江水\'和\'浦江\'属于"Located"关系，因为它们是在卢浦大桥上的位置描述。'}
{'text': '沈老汉讲完故事后将一只淮蚬打开后指着贝壳里那块蚬肉说：“你们看', 'predict': '沈老汉和那块蚬肉属于Part-Whole关系。'}
{'text': '女士似乎觉得腿疼，撩起裙子一看，两腿摔得青一块紫一块', 'predict': '属于“Part-Whole”（部分-整体）关系，因为“女士”是“两腿”的一部分。'}
{'text': '我们常吃的蔬菜是萝卜、白菜、豇豆、茄子、空心菜。', 'predict': 'Part-Whole（部分-整体）'}
{'text': '他们自己砸了自己的铁饭碗，筹集学费来的。', 'predict': "'自己'属于Part-Whole关系，'铁饭碗'属于Ownership关系。"}
{'text': '在东南方向欲扭头时，少年的脑子开始浑浆浆', 'predict': "根据句子中的描述，'少年'和'脑子'属于'Part-Whole'（部分-整体）关系。也就是说，'脑子'是'少年'的一部分。"}
{'text': '瀑下洞里横生一奇树，树干向外', 'predict': '根据句子，\'瀑下洞里\'和\'奇树\'属于"Located"（位置关系）的关系。'}
{'text': '拿出家中珍藏的最好的食品慰劳自己。', 'predict': "'家中'和'最好的食品'属于'Part-Whole'（部分-整体）关系。"}
{'text': '我们伐着一条小木船，带着钩蚬的铁制蚬钩。', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'沱江'属于关系名'Near'，'丝绸之乡'属于关系名'General-Special'。"}
{'text': '四月二十八日我接到绥化铁路司机录取通知书。', 'predict': '\'绥化铁路\'和\'司机\'属于"Ownership"（所有关系）。'}
{'text': '断断续续能听到院内的高音喇叭不停重复播音：“各位游客请注意', 'predict': 'Located'}
{'text': '很多人都喜欢自己安装矿石收音机，父亲也不例外。他运用物理学知识，不但把矿石收音机装得比别人精致', 'predict': '很多人和父亲属于"General-Special"（泛指特指）的关系。'}
{'text': '波丽娜随团离开俄国，屠格涅夫失魂落魄，茶饭不思，居然不顾一切地辞去内务府办公厅十等文官的职务', 'predict': "'屠格涅夫'属于'General-Special'关系，'内务府办公厅'属于'Part-Whole'关系。"}
{'text': '照样走街串巷叫卖她的臭豆腐。', 'predict': 'Part-Whole (部分-整体)关系。'}
{'text': '我问他：江上烟波浩淼', 'predict': '关系：Social'}
{'text': '岸边那一丛丛芦苇总是显得特别的茂密鲜活。我常常与小伙伴们钻进苇丛挖甜甜的芦根，打鲜嫩的芦叶', 'predict': 'Part-Whole (部分-整体)关系。'}
{'text': '我曾经在铜梁和你有过相遇。叫你你不应，头发胡子盖住了半边脸，破衣烂衫臭气熏人', 'predict': "'铜梁'和'你'属于'Located'（位于）关系。"}
{'text': '乡里从村里选拔文艺骨干参加县里的汇演，他俩就是那时认识的。他会拉', 'predict': '关系名：Social'}
{'text': '张继善一家三口以及由他雇来的小北庄村民，在这巍巍大山深处劈山开路', 'predict': '关系：Family, Create'}
{'text': '根据蚬子生长的特性，我们用一尺的钩条或钢筋，在它的下端弯成一个小钩，并将小钩磨得尖尖的。', 'predict': 'Part-Whole（部分-整体）关系，其中蚬子是整体，一个小钩是其一部分。'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'酒城'属于关系名为美酒之乡的关系，'彭祖山'属于关系名为旅游之乡的关系。"}
{'text': '小河宽不足<N>米，水也不深', 'predict': '小河和水属于Part-Whole（部分-整体）关系。'}
{'text': '<N>年，西洞庭摘得了“全国红旗农场”的桂冠，<N>年被评为“全国农垦先进单位”，<N>年，被评为“全国农业科技投入百强”第<N>名。', 'predict': "关系：Located\n\n'<N>年'是时间的位置，属于Located关系；'西洞庭'是地名，属于Located关系。"}
{'text': '搭在楼房前的喜棚，上面有顶', 'predict': 'Part-Whole'}
{'text': '船上坐着两位手拿蚬钩的老者。', 'predict': '关系名：Located。'}
{'text': '怎么可能有温泉?到过香格里拉的人都知道，那里有温泉，因为那里有连绵起伏的群山', 'predict': '人和那里属于Located关系。'}
{'text': '她经常教育我们，不要伸手要别人的东西', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '乡间的鸡鸣犬吠、虫琴蛙鼓定是追着了我的屁股，在我深一脚浅一脚的足迹里躲藏着，一直跟随我来到了都市，不然，好多个梦里，怎么老听到它们唤我回家。', 'predict': "'鸡'属于'Located'关系，因为它们被描述在乡间，即在某个地方被定位。而'它们'属于'Part-Whole'关系，因为它们被描述为多个个体的集合体，可能是指乡间的各种动物。"}
{'text': '五爷家的土屋院西墙门楼紧靠金砀公路东边', 'predict': "根据句子中的描述，'土屋院'和'西墙门'应该属于'Part-Whole'关系，因为它们是五爷家的一个部分。"}
{'text': '唐大工像调皮孩子拉住我的手小声说道', 'predict': '关系：Social'}
{'text': '最突出的就是村前村后的两座山，村前靠南边的山叫前门山', 'predict': "'村后'和'山'属于'Part-Whole'（部分-整体）关系，因为'村后'指的是整个村庄的后面，而'山'是村庄的一部分，是整个村庄的一部分。"}
{'text': '根据蚬子生长的特性，我们用一尺的钩条或钢筋，在它的下端弯成一个小钩', 'predict': '关系：Part-Whole'}
{'text': '但母亲谈话很谨慎，谈话的内容多是柴米油盐之类家常话，不该说的话在喉际也不会吐出。', 'predict': "'母亲'属于'Family'关系，'喉'属于'Part-Whole'关系。"}
{'text': '组成一篇文章，选择角度，内容梳理，去构思文章，回家静下心来动笔去写', 'predict': 'Part-Whole (部分-整体)'}
{'text': '那是这些树叶的“豆蔻年华”，一个个如芭蕾少女似地单腿立在枝桠树梢', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '过了长江;西边在雅安的名山、峨眉山以西一带;北边在成都的双流以南以及龙泉驿等', 'predict': "句子中的'成都'和'双流'属于'Near'关系。"}
{'text': '在它的下端弯成一个小钩', 'predict': 'Part-Whole（部分-整体）'}
{'text': '她为我和姐姐的前途悲哀，后来，我和姐姐下了农村，姐弟俩开始了漫长的知青生活', 'predict': "'姐弟俩'属于'Family'（家庭）关系，'知青'属于'General-Special'（一般-特殊）关系。"}
{'text': '那时候，母亲工作很忙。她总是黎明前就起床煮饭。我常常在清晨睁开朦胧的眼睛，看见她在灶前烧火', 'predict': "'母亲'属于'Family'关系，'黎明前'属于'General-Special'关系。"}
{'text': '的取向么?邻居还说，他有一个熟人，政府给他安排好生活了', 'predict': '句子中的\'他\'和\'熟人\'属于"Social"关系的取向，因为他们是彼此认识的人。'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'沱江'属于关系名'鱼米之乡'(岷江、沱江、青衣江均在犍为郡)，'酒城'属于关系名'美酒之乡'(今酒城、酒都、茅台等均属犍为郡)。"}
{'text': '很快就把草鞋上的塑料布弄得破碎、一塌糊涂，雨水还是渗过草鞋底湿透了袜子。', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '居住片里有绿树，有花草，有小河，有小桥', 'predict': '居住片和小河属于"Located"（位置关系）的关系。'}
{'text': '由于反抗外来侵略者，沿海有不少小村子名垂青史。', 'predict': "'沿海'和'不少小村子'属于'Located'（位置）关系。"}
{'text': '它们经历千百年风刀沙斧的讨伐，有的头断臂折，有的皮撕肉裂，有的掏空胸腹', 'predict': 'Part-Whole（部分-整体）'}
{'text': '但<N>天后仍然永远的离开了他的战友，他在保护战友口粮的战斗中用生命与暴风雨作了最后的斗争。', 'predict': "'他'和'战友'属于社交关系。"}
{'text': '师傅做好后，我就迫不及待地穿在身上，双手插入下面的衣袋，仰起头，挺起胸，俨然成了青年小伙子。', 'predict': "句子中的'师傅'和'我'属于'Create'（创造）关系，因为师傅创造了衣服，而我则是由衣服所创造的形象。"}
{'text': '就像孩子摸到母亲的奶头', 'predict': '关系：Family'}
{'text': '昨晚我站在观景阳台看风景，<N>岁的外孙来到我面前。', 'predict': "'我'和'<N>岁的外孙'属于'Family'关系。"}
{'text': '我问他：江上烟波浩淼', 'predict': 'General-Special'}
{'text': '根据蚬子生长的特性，我们用一尺的钩条或钢筋，在它的下端弯成一个小钩', 'predict': '关系：Part-Whole'}
{'text': '四月二十八日我接到绥化铁路司机录取通知书。', 'predict': "关系名：Ownership（所有关系）\n\n'绥化铁路司机录取通知书'属于'我'的所有，因此它们之间的关系是Ownership（所有关系）。而'司机'并没有与其他实体之间的所有关系，因此在这个句子中没有明显的关系。"}
{'text': '我年轻时在医院工作多年。整天和病人接触，目睹患者被疾病折磨和痛苦', 'predict': "'我'属于'Ownership'（所有关系），'目'属于'General-Special'（一般特殊关系）。"}
{'text': '甘巴拉山口一侧海拔五千米左右的山坡上，有几只黑色的牦牛在啃吃深绿的牧羊。', 'predict': '关系：Located'}
{'text': '村民们在栽种竹子的时候就把水竹栽在山脚或是房前屋后土脚厚的地方', 'predict': "'村民们'和'山脚'属于'Located'（位置关系）的关系。"}
{'text': '马爬犁在风雪中飞，孩子冻得脸发青', 'predict': "句子中的'孩子'和'脸'属于Part-Whole关系。"}
{'text': '我和哥哥就当推磨手，我们紧紧握着齐胸高的丁字型的磨手柄，甩开臂膀，喘着粗气磨豆腐，磨得手麻臂酸', 'predict': '我们属于Social关系，臂属于Part-Whole关系。'}
{'text': '离别时母亲坐在轮椅上送我出门', 'predict': "'母亲'和'轮椅'属于'Located'关系，即母亲坐在轮椅上。"}
{'text': '想到这些，我对老曹说：“现在又不是没钱', 'predict': '老曹和现在属于"Unknown"关系，因为句子中没有明确的关系词来描述它们之间的关系。'}
{'text': '我和冯大为都曾在珍宝岛战斗打响后县里组建的武装民兵连执勤一年多', 'predict': "'我'和'冯大为'属于Social关系。"}
{'text': '当一缕缕春风从遥远的天边吹向松软的黄土山坳时，小草渐渐地探出了细芽。', 'predict': 'Part-Whole（部分-整体）关系。因为“松软的黄土山坳”是“小草”生长的环境，是整体，而“小草”是“松软的黄土山坳”中的一部分。'}
{'text': '往年也有过落叶吗?为什么我竟然没有在意呢?是今年我多愁善感了吗?为什么那一片片在小径上随风舞动和颤抖着的落叶会触动我的心思呢?此刻', 'predict': "句子中的'那一片片在小径上随风舞动和颤抖着的落叶'和'我'属于社交关系，因为它们描述了人与周围环境的互动和情感体验。"}
{'text': '楼下左侧是一条河――安昌河。距楼不远是一座桥，晚上灯光迷离。', 'predict': 'Part-Whole (部分-整体)。'}
{'text': '第二个老师是崔子范，是齐白石的学生', 'predict': '第二个老师是崔子范，是齐白石的学生中，\'老师\'和\'崔子范\'属于"General-Special"（一般特殊）关系。'}
{'text': '有一户姓苟的船民常年在淮河行船做生意。家里有妻子和一个呆傻的儿子。', 'predict': '船属于Located关系，妻子属于Family关系。'}
{'text': '那狮泉河、孔雀河和象泉河;那几十个湖泊围绕的西藏第二大湖色林错，那世界国界湖中海拔最高的班公错', 'predict': "Part-Whole，因为'那几十个湖泊'是'西藏第二大湖色林错'的一部分。"}
{'text': '还有周有光与张永和、巴金与肖珊…', 'predict': '巴金和肖珊属于"Social"关系，而周有光与张永和、巴金与肖珊的关系无法确定，因为句子中没有提供足够的上下文信息。'}
{'text': '母亲疼爱自己的儿女，尤其偏爱我。', 'predict': '关系名：Family'}
{'text': '“春天像刚落地的娃娃，从头到脚都是新的”', 'predict': '刚落地的娃娃和头都属于Part-Whole（部分-整体）关系。'}
{'text': '悄悄的对话，她会告诉你很多你从来没有的见过的事情，给你崭新的面孔和微笑。', 'predict': '她属于Social关系，崭新的面孔和微笑属于Part-Whole关系。'}
{'text': '清晨我沐浴着灿烂的阳光，驾着“上海大众”', 'predict': '属于“Located”关系。'}
{'text': '成为包装红糖与咸盐的“包装纸”', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '我问鲁光，你是怎么从一个大记者、大作家又变成大画家的呢?鲁光说', 'predict': 'Social'}
{'text': '后来，你父母双亡，弟妹们相继成了家', 'predict': "'你'属于Family关系，'弟妹们'属于Part-Whole关系。"}
{'text': '鱼头刺多，你们吃，不注意会卡喉。”', 'predict': "句子中的'你们'和'喉'属于Part-Whole（部分-整体）关系。"}
{'text': '那时候，母亲工作很忙。她总是黎明前就起床煮饭。我常常在清晨睁开朦胧的眼睛，看见她在灶前烧火', 'predict': "'母亲'属于'Family'关系，'清晨'属于'General-Special'关系。"}
{'text': '“这样吧，我把我的身份证交给您拿着', 'predict': '关系：Ownership'}
{'text': '想到这些，我对老曹说：“现在又不是没钱', 'predict': '关系：Social'}
{'text': '吟罢了这首小诗，悠悠的铁索桥已在面前，靓女帅哥们嘻嘻哈哈地过了荡秋千似的铁索桥', 'predict': "'悠悠的铁索桥'和'面前'属于'Located'关系。"}
{'text': '瓶窑村现有三百多户人家，离城关约十公里的始丰溪畔。', 'predict': '瓶窑村和城关属于"Near"（附近）关系。'}
{'text': '上热菜了，两个身穿红衣服的帮厨姑娘端着大碗不停地给各桌上菜。', 'predict': "'两个身穿红衣服的帮厨姑娘'属于'General-Special'关系，'大碗'属于'Part-Whole'关系。"}
{'text': '在霞光里翩翩起舞;又像一丛丛海底珊瑚熠熠生辉;更似白松鼠拖着蓬松松的长尾巴静绕枝头。', 'predict': '这句话中没有明显的属于关系中的任何一种的关系。这是一句描写自然景观的句子，没有涉及到实体之间的关系。'}
{'text': '后来，我们长大一点，姐姐就帮母亲烧火煮饭，我和哥哥就到田边井里取水', 'predict': '关系：Family'}
{'text': '与它的长毛玩起明暗冷热的把戏。', 'predict': "句子中的'它'和'长毛'属于Part-Whole关系，因为'长毛'是'它'的一部分。"}
{'text': '被藏族民歌颂唱为“人间仙境”的羊卓雍错，位于浪卡子县境内。', 'predict': '被藏族民歌颂唱为“人间仙境”的羊卓雍错和浪卡子县境内属于"Located"（位置）关系。'}
{'text': '你见过浩瀚的江面上文艺舞台吗?只有亲身到过桂林阳朔并看了《印象、刘三姐》的演出', 'predict': '句子中没有明显的属于关系中的词语，因此无法确定关系。'}
{'text': '于是大家七手八脚，两人捉前脚，两人捉后脚，一人揪尾巴，一人提耳朵', 'predict': '关系：Social'}
{'text': '慈母手中线', 'predict': 'Part-Whole（部分-整体）'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': '茅台和瓦屋山都属于旅游之乡关系。'}
{'text': '上游一个造纸厂把污水排河里', 'predict': '上游和造纸厂属于"Located"（位置关系）的范畴。'}
{'text': '兔笼右侧有一棵大树，是加州常见的那种橡树,长着干干的,有刺的小叶子，疏疏朗朗', 'predict': "'一棵大树'属于Part-Whole关系，'干干的,有刺的小叶子'属于General-Special关系。"}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'犍为郡'属于'Located'关系，而'酒都'属于'General-Special'关系。"}
{'text': '然后抓住蔡妮割下她的舌头，随手扔到了淮河里', 'predict': "'她'属于Part-Whole关系，'淮河'属于Located关系。"}
{'text': '中华是世界上四大文明古国之一。中华发源于黄河流域，远播世界各地的丝绸、陶器、针灸等为人类作出了不可磨灭的巨大贡献。', 'predict': "'世界'和'世界各地'属于'General-Special'（一般-特殊）关系。"}
{'text': '这时，少年感觉栽进蜜罐里，喝足后，又一次飘了起来，眼睛里闪烁着金红色的亮光，大腿根部发出来的胡萝卜样的肉杈杈硬梆梆直立', 'predict': "'少年'属于'General-Special'关系，'大腿根'属于'Part-Whole'关系。"}
{'text': '第一茬底肥鸡粪，就牢牢地被追施在葡萄树的根底。', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '父亲逝世后，母亲黯然失神.在南充举目无亲的情况下，为了抚育我们三个敖敖待哺的稚儿，母亲毅然决定调回她的故乡----璧山', 'predict': "'亲'属于Family关系，'我们三个敖敖待哺的稚儿'属于Part-Whole关系。"}
{'text': '因为这种样式有三个衣袋,左胸的袋口横斜着,可以插钢笔,下面左右各有一个衣袋,有袋盖', 'predict': 'Part-Whole（部分-整体）'}
{'text': '看见雪白的大半锅豆腐,我们乐的咂嘴咂舌。', 'predict': "这个句子中的'我们'和'舌'属于无关系。因为它们在句子中没有明确的关联或连接。"}
{'text': '盆中的红枫，它个头不高，枝干错落有致', 'predict': "句子中的'它'和'枝干'属于'Part-Whole'关系，因为它们是盆中红枫的组成部分。"}
{'text': '小时候，我们一家大人小孩的衣服都是母亲裁缝的。', 'predict': "'我们一家大人小孩'和'母亲'属于'Family'（家庭）关系。"}
{'text': '早几年我的老父亲到我家里来住时说要理发', 'predict': 'Family'}
{'text': '设想一下一个人夜里打黑瞎子发生了人身伤害，我们更无法向上级和他的家人交代', 'predict': "'他'和'他的家人'属于'Family'关系。"}
{'text': '总之是那样的撩逗人心。那天然的韵律直扑大脑中的每一根交感神经，并把它导入全身每一个毛细血孔。', 'predict': "'人'属于Social关系，'全身每一个毛细血孔'属于Part-Whole关系。"}
{'text': '你看它们的根那么发达，地下茎、竹根，鞭根和竹秆盘在一起', 'predict': '它们属于Part-Whole关系，而鞭根属于General-Special关系。'}
{'text': '地瓜开了黄花，黄花底下露出小小的、嫩嫩的瓜蛋儿。', 'predict': '这两个词属于"Part-Whole"关系，因为它们是描述地瓜的不同部分。'}
{'text': '一年冬，他随军转战南方，路过家乡，看望妻子阿梅。', 'predict': "'南方'和'妻子'属于不同的关系，'南方'属于Located关系，'妻子'属于Family关系。"}
